document_id,Cleaned_Review,sentiment
11,The script tight theme fascinating acting incredible especially Edward Norton one might expect direction inspired cinematography stunning It one film past five year deserves seen multiple time In fact seen missed something I seriously hoping movie would receive Oscar nomination Best Actor Norton Best Screenplay Best Director Best Cinematography Best PictureSo film received nomination Unfortunately mismatched ad campaign The ad made seem like movie street boxing instead intellectual emotional ride man psyche take strange path toward rebellion consumer society As result went see disappointed would recognize brilliance stayed far away movie theater This one underrated movie I knowI always love movie keep entertained keep guessing movie score Those enjoyed The Game Memento The Matrix really check,Positive
12,Spoiler I guess Violent film manly therapy secret fight club good start intriguing premise sharp actor founder Round ultimately TKO The wrap plain stupid get essentially invalidates everything I dont mean harsh heck voting movie Imdb If really top movie time Im Harry Houdini,Negative
13,Brad Pitt Edward Norton Fight Club film directed David Fincher written Jim Uhls The movie also star Helena Bonham Carter Meat Loaf Zach GrenierEdward Norton Jack Narrator film though controversy name Tired job life bos find great satisfaction attending group session alcoholic drug addictscompulsive gambler compulsive eater cancer victim etc He soon encounter another group groupie bizarre Marla Singer Carter realizes shes group release feeling So two make deal split meeting night attendWhen Jack return trip apartment flame With nowhere go call man met plane Tyler Durden go live old decrepit filthy house The two soon become involved forming underground Fight Club Jack find release seek learns man develops assertiveness courageOkay like Mulholland Drive thats story surface film isnt really described Its complicated dark violent story tearing superficial value ripping rampant consumerism really feeling living instead existingFight Club start quite funny actually Jack Marla arguing who going prostate cancer meeting becomes progressively darker stranger faster race surprising ending Unfortunately took long see film ending wasnt surprise I would loved experience full impact itThe performance Norton Pitt Carter fabulous All three shown absolute best advantage Norton reason always little underrated He beautiful job Carter year ago made seamless transition ingénue leading lady like Mrs Lovett Sweeney Todd character roleFight Club horrific watch part violence worth getting see truly masterful film,Negative
14,Despite good theme great acting important message movie convey unorthodox way I think fails connect audience storyline leaf world confusion Although majority review find movie entertaining interesting yet I would choose minority belief movie extremely overrated,Negative
15,Ok yes time I said loud whoa crazy I pretty quickly said afterwards yeah also kind cheesyMy guess audience back ninety hadnt seen anything like movie thought incredible Im thinking maybe film doesnt hold anymoreThe twist plot advancement ok I see movie take huge risk artistically make big risk doesnt always hit homeOverall I enjoy watching Fight Club movie fan Im glad I I dont think I would ever put list favorite movie time,Positive
16,Great mom great performance Brad Pitt Edward Norton great directing David Fincher way film filmed excellent unfair film win Oscar best film best directing ACTOR IN A LEADING ROLE Knowing Tyler narrator person movie full hint The idea film tried recommend u like Tyler like WWE middle,Positive
17,In attempt get bottom Fight Club I conversation someone recently argued people movie get fistfight one another mean expressing My rebuttal Couldnt sit conversation Write diary Go Springer Fight Club star Edward Norton one favorite actor always brings refreshing intelligence work He play depressed urbanite work hard job hate make expensive order catalogue maybe measure worthTo u Nortons character known The Narrator He meaning life develops interesting habit addicted various support group Alcoholics sex addict one men testicular cancer among others He spot woman named Marla Helena Bonham Carter attending meeting He know addict like keep illusion real work alternating scheduleOn airplane meet Tyler Durden The Narrators number right start Later turn Tyler help apartment catch fire So Tyler take rather grungy world Enter Fight Club underground society men get feeling aggression beating snot one another The fight scene Fight Club brutal bloody never seem cause permanent injuryIn trying defend Fight Club jumble twisted message The idea club apparently free rule tie u I guess getting socked head suppose give thicker skin apparently concussion Then movie turn member club cult What Free mind told This movie go piece Fight Club make twist pull rug little logical reasoning film The screenplay develops insane logic reality unreality something like Out respect planning see movie I say moreDavid Fincher director I lot hope This fourth film impressive intelligent Seen showed full power potential I love style film He us dark set grimy setting set story motion I impressed Alien save amazing production design The Game badly need sense humor Fight Club isnt worst film impressive first act Imagine kind great social commentary could come movie two people addicted step program That original If I want see people beat Ill watch Jerry Springer,Positive
18,Well nice story realistic Im sure normal human pretty keen take existence one portrayed Fight ClubSurely percentage people world dont enjoy fighting Fight Club made one Americas favourite pastime Ive spent significant time USA never saw one fightIt dull boring movie I suggest Eddie Norton take good hard look involved script like Helena As Bradles accepting part Legends Fall nothing surprise movie selection even though boy talentI feel like kind hardcore modern fairytale opposed realistic society pastime,Positive
19,Spoilers herein Films like frustrate This competent engaging I curse wasting chance say something memorable important perhaps bothWhats good way theyve solved narrator problem narrator imagined hero find rather clever We become cocreater hero narrator cast whole film conversation u explain last scene see flashback beginning film Along way reminded messing film film u This latter go far hero work projectionist explaining cigarette burn He insert subliminal pornography see throughout longer noticeable flash toward end When find Pitts nonexistence underscored image video Add inherently cinematic nature voyeuristic personal violence film u capturedWhen return last scene Pitt tell u whole thing flashback humor strongly selfreferential trick I know film Obviously selfreferential notion narrator reason film Thats Ed Norton bought film right Motherless Brooklyn exploit similar experiment narrative mystery In case narrator TourettesSo film competently capture u A wasted opportunity My major complaint film meant nothing imparted nothing thumbed nose say I capture easily doofus story capricious reason We deserve better You talent betterLesser complaintsNorton Pitt excellent though Pitt much simpler requirement Why waste Helena Bonham Carter Shes got moxie shes memorable I think director didnt know use beyond vapid sullenness Another wasted opportunityNarrative trick like best follow detective story playfair model This The Sixth Sense On second viewing film everything work new information More minor problem become clearer Not film The writer played fast loose motivation It rather oh dream oh time travel reversed category And could tidier regard without messing anything upMost every scene weird good ran shortterm expectation But scene Lou thug visit fight club pure stereotype predictable WhyI wish last scene something This really begin hit whole thing motivated illusion much effectBottom line film good maker talented held higher standard I give competence You see reason But purpose,Positive
20,Fight Club regarded fantastic movie currently rated IMDb top ten I guess supposed movie specific generation people actively watching film I still day understand fuss Yes film different traditional action drama film different doesnt mean good let alone fantastic work artNow movie supposed representation imagination fragmentation Edward Nortons character unnamed narrator movie almost entirety imagination including character see appear film including Brad Pitt So basically movie follows It dream concept whatever see real I mind idea presented properly movie take concept extremely ridiculous level I hard time deciding film supposed drama film action film fantasyFight Club many weird moment unnecessary violence Edward going bonkers crippling destroying another man fight almost reason The film also disgusting scene like Fat guy bigger chest girl implant thats disgusting made want turn film fat guy I disgusted terrible film portrays people alien The plot hardly saving grace start promising people depressed seeking help could good interesting premise base film upon plot progress worse ridiculous get After first minute film torture sit The ending also nonsensical I think entire premise film flawed start The Narrator cant kill Tyler directly shoot Tyler dy Tyler Edward wanted Whatever dont spend much time thinking thatThe saving grace acting lead actor Norton Pitt Edward Norton really character least best could script given work despite ridiculous moment Nortons good performance breathes life movie Brad Pitt also commendable job Tyler although I like Tyler I felt like Brad least tryingNever understood love film I nothing people like I dont understand love come personal opinion Fight club good film overrated,Negative
21,To world This isnt really movie dumb guy beating theyre bored anything else No Fight Club actually personal cultural revolution within corporate consumer society destroys human spirit At least thats I saw itI loved movie rating ten whimsical fancyI dont hand gold star nothing It look good sound good pacing dialogue acting etc excellent Why didnt rate higher mainstream critic list cinematography alone beyond meWhat really make movie shine though unflinching way look North American societyour mass consumerism slavery stuffy corporate office job growing lack make u human The movie doesnt pull many punchesNortons character automaton office lackey desperately searching meaning materialistic shell life Pitt play modernday surferhippie Tyler Durden whose devilmaycare spontaneous attitude life offer perfect solution These two personality struggle reconcile different perspective life without destroying relationship To make thing difficult Bonham Carter creates love triangle test friendshipIs better free alive chaotic Pitts anarchistic vision safe secure bored like Nortons capitalist American Dream life Or compromise found Can love conquer This peripheral deeper stuff Fight Club made smackdown action trailer critic focused onThis movie demand least one viewing If youre queasy violence graphic fight scene two watch someone who already seen ask edited version Even dont end respecting movie message complicated question asks remains wellcrafted film deserving recognition,Positive
22,Whats fascinating David Finchers workis seems deal auteurHe created universea nocturnal filthy oneand bit misogynous tooits glaring movieoutside BonhamCartermade look ugly dressed punkonly black woman line sayAlmost everywhereit man man world woman appear even settingsThis movie influenced famous notsofamous predecessorsof course Dr Jekill Mister Hide Bonham Carter hint restauranta clockwork orange rebel without cause bad influence Joel Schumachers falling downthe latter seems hindsight overlooked underratedSo movie seem originalit owes lot ENorton Pittwho already overshadowed RGere primal fearHere play strange kind peeping tomwatching mental suffering therapy group dealing almost essentially male problemsthen physical sufferingseventually enduring themDoes would opt yogaBuddhism psychotherapyto escape routine workTo get free material worldAs Pitt say thing youThe problem Norton seem freeAt firsthe may he simple spectatorand scene restaurant projection room peak black humorbuthes potentially Stevensonian heroTheres big coup de theatre movie breathtaking unexpected twist à la sixth sense Jacobs ladder Usual suspect difficult comment movie say questioned KNOWOf course I wont reveal itbut I think biggest flaw movieUnlike three mentioned worksthis seem logicalbecause lack cluesthe one regarding BonhamCarter really convincingThe last picture seems terrifying,Negative
23,Solid Acting Amazing Direction A movie want keep audience unsettled beginning end perhaps post film made pre capturing perfectly stirring discontent Nineties madness geopolitical especially economic would erupt globally decade come Wildly inventive exceptionally cast undeniably controversial there endless list subtexts viewpoint fuel debate year Fight Club movie wake call disenfranchised generation sick told advertising drive wear buy smoke drink eat order cool Fight Club still today definitive film statement strong rock anthem twice packed power chordsEssential Hollywood film,Positive
24,To criticize film shallow confused message understandable The problem criticism case Fight Club movie message confused It know exactly saying many people dontNot people jump conclusion Fight Club condoning violent sociopathic behavior think condoning fascism terrorism actually outright mocking Its showing juvenile pointlessness Not people miss satirizing teenagerebellion mentality assume pandering itFight Club story two people representing two extreme Narrator whitecollar worker who become slave consumerism social construct around Tyler Durden violent nihilist regard society others feel human race emasculated materialism advertising Essentially two exact opposite But two become friend start underground boxing club catharsis people feel trapped emotionally apathetic Ultimately Tyler take entire concept evolves Project Mayhem group devoted vandalism general mischief actively grows terrorist organizationThe thing SHOULD giveaway promoting behavior DEATH innocent man result action fact see misguided member Project Mayhem lose personal identity dangerous cult mentalityI said Ill say Project Mayhem violent belief condoned And yet give idea much theme Fight Club taken context reallife incident kid Manhattan influenced movie attempted blow Starbucks Space Monkeys seen movie Of course despite obvious behavior mocked movie show innocent man get killed result authority proceeded scapegoat movie fault film someone foolishly misinterpreted message attempted act terrorismThe film blatantly portrays Tyler Durden fascist terrorist yet people actually think promoting simply doesnt outright tell think Fight Club attacked everyone politically correct NewAgers prudish moralist mantra ZOMG THIS MOVEEZ VIOLINZ FOR THE STOOPID TEENAEGERS LOLZ course shouted socalled cinephiles unconventional nature Hollywood film I recommend actually thinking film instead going kneejerk reaction If thing happen movie disturb especially ending good They SHOULD disturb youIn short Fight Club condoning Tyler Durdens action belief much Schindlers List condoning HolocaustOf course thats take message misconstrued else Fight Club offerWell youd expect Fincher remarkablelooking movie actor make absolute best Its consistently funny full unforgettable character dialogue capture world feel Generation X quite unlike movie Ive ever seen But therein lie something fascinating absolute film time place yet doesnt feel dated The reason I theorize outstanding job making part time set giving u something timeless think aboutSo opinion true message Fight ClubFight Club isand importantNOT telling think Its simply asking reflect question thing Question society question false prophet Keep balance two extreme Narrator Tylerby individual,Negative
25,David Fincher terrific camera Visually film wonder Unfortunately content thin interior tale vanish quickly What remains look promise matter unfulfilled promise remains Edward Norton sensational especially first minute movie Brad Pitt already film icon thing course plus Helena Bonham Carter surprised big time facade I never seen The slow motion smoke coming mouth Fincher introduces u work art real problem nothing remains deep nothing fantastic eye startle amaze Im sure sooner later David Fincher come something powerful inside outside,Positive
26,I really hated ending whole movie great thing dosent deserve,Negative
27,I saw film free preview week released two year later I still remember angry I wasting evening drivelThe whole premise guy cant feel emotion unless theyre beating hell ridiculous boringI cant remember one thing I liked movieNot scriptnone performancesthe editing cinematographynothingMaybe film tap current anarchist view aspiration whatever generation tobut caresIf score lower oneI wouldnt hesitate mark ballot,Negative
28,After watching movie I totally filled enthusiasm Fight Club definitly Finchers best movie even better seen Its story optic fascinated When I seen second time I could see movie knowledge conclusion really fascinating youll see Fight Club totally different perspective Also great Fight Club soundtrack performed Dust Brothers especially song Where mind Pixies really fit end movie Unfortunately Fight Club didnt much success Germany anyway movie got best review German press I also mention brilliance Ed Norton Brad Pitt play best role performs villain But quiet amazing Edward Norton able overwhelming For role get oscar,Positive
29,I sat first half movie mouth open It exciting brilliant Fritz Lang new millennium Edward Nortons face That insomnia carry magnificently drawn creates opposite effect audience I awake awake sitting edge seat devouring every moment enjoying like hell Helena Bonham Carter like great silent movie star first talkie Pola Negri Theda Bara As want enough Brad Pitt Brad Pitt Brad Pitt fabulous connotation Then explain I detested movie Why made angry Can I tell half way I turned movie movie turned either way I didnt like I felt cheated worse possible way I felt treated like moron You start promising unique film experience Ive long time delivered tired opportunistic gimmicky easy piece nonsense Why David Fincher one consummated craftsman American movie ever Dont agree He tell story even something like Seven horror thriller way weve never seen least half He eye like Thats frustration An artist like putting service something thats done finished worthy talent You may think Im bit hard man But let tell love I expect much Ive seen capable But far half Brilliantly acted sensational look half half He look Fritz Lang Pietro Germi Alfred Hitchcock Michael Powell William Wellman naturally John Ford Martin Scorsese Steven Spielberg Fincher already inherited something one Now trick isnt trick Half better nothing But grand scheme thing enough,Positive
30,It would interesting know age people gave movie star I imagine older must The title movie made avoid like pest long time sensing going bad Yesterday I finally watched boy even worse I thought would It bad time time I fast forward itThis movie biggest problem unbelievably contrived Its sole purpose desperately try different shocking revolutionary subversive It try hard fails miserably And one simple reason childishnessWatching grownup men constantly childish simply funny much le interesting Unless redneck older,Negative
31,A nameless man Edward Norton suffering insomnia traveling investigator car company He go support meeting He addicted start going kind support meeting He encounter another meeting groupie Marla Singer Bonham Carter She uninhibited On flight home encounter Tyler Durden Brad Pitt make soap They bond dislike consumerism Man name loses apartment due gas explosion Outside bar Tyler asks hit He start staying Tylers dilapidated isolated mansionI want like lot I want movie say something consumerism effeminization society I want movie take profound stance state male position modern society It also touch isolation modern world It seems set something great movie give twist take much punch away The movie becomes twist I dont know movie say anything else,Positive
32,SPOILER This one movie overrated wannabe intellectual The script slick disguise propaganda Propaganda ask Lets start FACT Edward Nortons character movie psychotic Brad Pitts doesnt exist Brad Pitts character Tyler Durden figment Nortons imagination Nortons character psychotic This whole plot twist becomes even aggravating realized wasted two hour watching movie psychotic anarchist The movie message great impressionable kid system succeed violence case terrorism Please spare rhetoric I realize movie fiction excuse Even fiction entertain drag sewer give impressionable misguided kid bad idea Sort Clock Work Orange racist neoNazisThe people watch need realize every person corporation society corrupt large magnitude corporation people Society general Capitalism bad Far society today whatever bad used propaganda generalize everything bad This movie It conveniently keep opposing argument purpose Which portray sadistic violence anarchy terrorism appealing light attempt make seem intelligent instead really insanity Capitalism given west high standard living life expectancy No economic system offer prosperityPeople always searching tip life trick could use imagination Movies like candy someone imagination Forensic science could easily determine someone beat whether bos blow plot whole movie would Nortons character get funding Instead feel new way black mail bos pathetic So much movie laughable analyze Did I mention Tyler Durden I mean Edward Nortons character intimidates mobster PleaseThis movie attempt smart fails Smart people punch bleed live abandoned decrepit building perform terrorist act Smart people also waste time watching dumb movie like They read book go college learn thing really work The fact movie like popular sign society failing,Negative
33,Our narrator whitecollar worker life point could called normal His home decked pornography IKEA catalogue professional However somehow dissatisfied life drift various support group faking disease get love emotional outlet A chance meeting airplane soap salesman Tyler Durden give pause flat destroyed explosion turn Durden help Together begin move world isnt commercially based pain help feel alive Together start small group called Fight Club men experience thrill fight without danger However group grow rapidly begin carry subversive activity large When confronted narrator Durden disappears narrator charge semicult group operating without knowledgeI didnt get round seeing film came TV UK recently So several year I generally told great movie  mostly people HEARD great movie rather seen So I expected greatness taken little aback fact wasnt normal Hollywood film something much worth The reason Im surprised rank highly well requires concentration thought The plot basically comedy making fun u Thats I saw  like narrator must accept life extent go extreme bad worse It clever story dipped quality one point  club first begin become something sinister move terrorismPart reason well watched star also cool direction made stand student generation something deep even didnt get film I think ironic havent hit stage narrator cant fully relate However direction praise worthy Fincher best man job Full clever shot great image film joy see The one flaw I sincerity film Many love anticapitalist nature making fun IKEAlove etc The film preaching u extreme  people watching making living exact life However minor became le film went mocked end scaleThe star well I wonder worried would highbrow flop Norton simply great actor given material delivers Even extreme action arent real carry convincing Pitt enjoys well joint lead although character basically one dimensional obvious reason That said strong take get extreme Carter weak link I never really bought character A shame quite central doesnt spoil much Support cast good putting face like Meat Loaf unusual role made stand distract roleOverall excellent movie Even dont get still great fun watch It brave story try Hollywood film superbly directed acted told Some may rave much well worth look If interest rather change life,Positive
34,From moment credit screen I instantly fell love itFight Club changed life way look You see near top people list That people think film correct Its decide Or could insanely cool certainly isThough right call Finchers As film adapted Chuck Palahniuks book I must add great This Chucks masterpiece The main difference ending Chucks book ending Davids film ending Making perfectThe film part studying character called Narrator played Edward Norton The first part follows trying cure insomnia He finally find way sleep Crying self help club To completely lose He became addicted And joined We lose track time And becomes routine His boring job Nonstop buying Ikea make feel complete Going self help club Cancer Parasites All kind disease said Although doesnt say anything But moment become comfortable ruined everything She Marla Singer Helena Bonham Carter She also faker With picture narrator couldnt sleep He escape travelling job spends time plane flying around AmericaThen find man called Tyler Durden Brad Pitt soap salesman met plane This lead second part Then Narrator come condo find ground Everywhere Smashed smithereens He call Tyler talk This lead staying Tylers place first must favour one greatest line film history I want hit hard Fight Club born simple rule men fight To born Soon lot men join Tylers place complete mess The house look like fall moment The Narrator still go job face full bruise He longer need self help club Fight Club grows Tyler decides expand Just Marla come back life Fight Club becomes cult new religion Then homework come action In men Fight Club go onto street cause mischief Which lead mayhem Project Mayhem The third part The adrenalin start pumping But Im going let find yourselfThe Narrator guide u film telling u theory feeling metaphor He one greatest character alltime oneliners Not funny But influential I guarantee fan Fight Club word running mind Tyler Durden also theory Yet tell u He tell Narrator We hear And believe Somehow viewer believe Tyler He speaks mature way evidence His theory humanity manhood He belief loosing plot original plan human race And way get better start Marla invades The Narrators life feel incomplete tooThe depth film incredible occasionally unrecognized Its becoming man A real man The hunter man The man kill Fighting practice When take swing another man fight club going back root Not personal root exactly general root gender Its pointless violence Its meaningful This teenage boy love film much cool relate go puberty If I explain another depth film would spoiler I going let find yourselfThe cinematography amazing The screenplay make enjoyable every time never get old mean soon know line I love score fit well The gritty atmosphere dark humour make rewatchable keep watching The acting brilliant I must say cool I couldnt imagine anyone else playing part Pitt play performance lifetime always remembered Tyler DurdenThis already become cult classic favourite many I recommend join club havent seen already probably able resistIt doesnt get better,Positive
